CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0190,0.9978,C0191,0.9972,C0056,0.9963
C0002,C0031,0.9977,C0083,0.9878,C0029,0.9856
C0003,C0112,0.9994,C0097,0.9988,C0144,0.9983
C0004,C0101,0.999,C0068,0.9922,C0136,0.9918
C0005,C0123,0.9998,C0036,0.9982,C0078,0.9931
C0006,C0168,0.8991,C0026,0.8124,C0066,0.7889
C0007,C0120,0.9912,C0150,0.9795,C0130,0.9766
C0008,C0084,0.994,C0194,0.9659,C0017,0.9639
C0009,C0077,0.985,C0027,0.9832,C0166,0.9824
C0010,C0083,0.9955,C0032,0.9937,C0031,0.9871
C0011,C0048,0.9892,C0137,0.9773,C0064,0.9663
C0012,C0122,0.9987,C0126,0.995,C0136,0.9942
C0013,C0141,0.9985,C0104,0.9949,C0059,0.9937
C0014,C0058,0.9998,C0020,0.9982,C0144,0.9975
C0015,C0060,0.9979,C0063,0.9977,C0095,0.9976
C0016,C0183,0.9975,C0064,0.9904,C0107,0.9874
C0017,C0113,0.999,C0162,0.9923,C0075,0.988
C0018,C0149,0.9987,C0182,0.967,C0079,0.9057
C0019,C0172,0.9843,C0116,0.9634,C0034,0.8532
C0020,C0110,0.9989,C0014,0.9982,C0058,0.998
